Rank,Name,Value,Age,Positions,Team,Level
173,Joshua Baez,1058,22.7,OF,STL,MLB
174,Randy Arozarena,1056,31,OF,SEA,MLB
175,Andrew Abbott,1054,26.8,SP,CIN,MLB
176,Wilyer Abreu,1054,26.7,OF,BOS,MLB
177,Ethan Holliday,1051,19,SS,COL,A
178,Edwin Diaz,1047,31.9,RP,LAD,MLB
179,Ryan Pepiot,1045,28.5,SP,TB,MLB
180,Luis Robert Jr.,1043,28.6,OF,NYM,MLB
181,Jacob deGrom,1042,37.7,SP,TEX,MLB
182,Robby Snelling,1033,22.2,SP,MIA,AAA
183,Jonathan Aranda,1019,27.8,1B,TB,MLB
184,Munetaka Murakami,1012,26.1,3B,CWS,MLB
185,Willy Adames,1010,30.5,SS,SF,MLB
186,Seth Hernandez,985,19.7,SP,PIT,ROK
187,Tanner Bibee,982,26.9,SP,CLE,MLB
188,Eduardo Quintero,979,20.5,OF,LAD,A+
189,Owen Caissie,969,23.7,OF,MIA,MLB
190,Chase DeLauter,967,24.4,OF,CLE,MLB
191,Ozzie Albies,964,29.2,2B,ATL,MLB
192,Shane Bieber,963,30.8,SP,TOR,MLB
193,Ceddanne Rafaela,960,25.5,"2B, OF",BOS,MLB
194,Jo Adell,956,26.9,OF,LAA,MLB
195,Rainiel Rodriguez,954,19.2,C,STL,A+
196,Shota Imanaga,940,32.5,SP,CHC,MLB
197,Jakob Marsee,938,24.7,OF,MIA,MLB
198,2026 Mid 1st,923,,,,
199,Ryan Waldschmidt,921,23.4,OF,AZ,AA
200,Josh Hader,912,31.9,RP,HOU,MLB
201,Logan Henderson,908,24,SP,MIL,MLB
202,Heliot Ramos,904,26.5,OF,SF,MLB
203,Ryan Sloan,897,20.1,SP,SEA,A+
204,Cade Smith,897,26.8,RP,CLE,MLB
205,Gerrit Cole,896,35.5,SP,NYY,MLB
206,Justin Crawford,891,22.1,OF,PHI,AAA
207,Dax Kilby,890,19.3,SS,NYY,A
208,Dylan Beavers,883,24.6,OF,BAL,MLB
209,Moises Ballesteros,882,22.3,UT,CHC,MLB
210,Carlos Rodon,875,33.2,SP,NYY,MLB
211,Kyle Teel,875,24,C,CWS,MLB
212,Sandy Alcantara,867,30.5,SP,MIA,MLB
213,Mike Trout,864,34.6,"OF, UT",LAA,MLB
214,Trevor Rogers,858,28.3,SP,BAL,MLB
215,Christian Yelich,855,34.2,"OF, UT",MIL,MLB
216,Hurston Waldrep,839,24,SP,ATL,MLB
217,Josue Briceno,832,21.4,"C, 1B",DET,AA
218,Noah Schultz,830,22.6,SP,CWS,AAA
219,Francisco Alvarez,826,24.3,C,NYM,MLB
220,Braden Montgomery,824,22.9,OF,CWS,AA
221,Matt McLain,824,26.6,2B,CIN,MLB
222,Kazuma Okamoto,822,29.7,"1B, 3B",TOR,MLB
223,Gage Jump,821,22.9,SP,ATH,AA
224,Charlie Condon,818,22.9,1B,COL,AA
225,Grayson Rodriguez,818,26.3,SP,LAA,MLB
226,Ralphy Velazquez,815,20.8,1B,CLE,AA
227,Travis Sykora,813,21.8,SP,WSH,AA
228,Jett Williams,812,22.3,"2B, SS, OF",NYM,AAA
229,Josuar Gonzalez,809,18.4,SS,SF,ROK
230,Masyn Winn,805,23.9,SS,STL,MLB
231,Emmanuel Rodriguez,804,23,OF,MIN,MLB
232,Jarlin Susana,804,21.9,SP,WSH,AA
233,Evan Carter,804,23.5,OF,TEX,MLB
234,Kerry Carpenter,801,28.5,OF,DET,MLB
235,Noah Cameron,796,26.6,SP,KC,MLB
236,JoJo Parker,795,19.6,SS,TOR,ROK
237,Lazaro Montes,794,21.4,OF,SEA,AA
238,Royce Lewis,793,26.7,3B,MIN,MLB
239,Brandon Woodruff,788,33.1,SP,MIL,MLB
240,2027 Mid 1st,773,,,,
241,Kyle Manzardo,772,25.6,1B,CLE,MLB
242,Jamie Arnold,765,21.9,SP,ATH,ROK
243,Ezequiel Tovar,763,24.6,SS,COL,MLB
244,Zebby Matthews,762,25.8,SP,MIN,MLB
245,Ryan Weathers,761,26.2,SP,NYY,MLB
246,2026 Late 1st,748,,,,
247,Luis Castillo,743,33.2,SP,SEA,MLB
248,George Lombard Jr.,741,20.8,SS,NYY,AA
249,Jack Leiter,739,25.9,SP,TEX,MLB
250,Yainer Diaz,734,27.4,C,HOU,MLB
251,Hagen Smith,733,22.5,SP,CWS,AA
252,Carson Williams,729,22.7,SS,TB,MLB
253,Quinn Priester,728,25.5,SP,MIL,MLB
254,Brayan Bello,727,26.8,SP,BOS,MLB
255,Daylen Lile,725,23.3,OF,WSH,MLB
256,Zac Gallen,720,30.6,SP,AZ,MLB
257,2027 Late 1st,715,,,,
258,Drew Rasmussen,705,30.6,SP,TB,MLB
259,Justin Steele,703,30.6,SP,CHC,MLB
260,Brendan Donovan,703,29.1,"2B, OF",SEA,MLB
261,Brenton Doyle,703,27.8,OF,COL,MLB
262,Nick Pivetta,700,33,SP,SD,MLB
263,Luis Gil,696,27.7,SP,NYY,MLB
264,Parker Messick,691,25.4,SP,CLE,MLB
265,Colton Cowser,686,25.9,OF,BAL,MLB
266,Sal Frelick,680,25.9,OF,MIL,MLB
267,Coby Mayo,680,24.2,1B,BAL,MLB
268,Alec Burleson,679,27.3,"1B, OF",STL,MLB
269,Daulton Varsho,677,29.7,OF,TOR,MLB
270,Eugenio Suarez,670,34.6,3B,CIN,MLB
271,Dalton Rushing,668,25,C,LAD,MLB
272,Emil Morales,665,19.4,SS,LAD,A
273,Cam Caminiti,664,19.6,SP,ATL,A
274,Kevin Gausman,662,35.2,SP,TOR,MLB
275,Alfredo Duno,655,20.2,C,CIN,A
276,Colt Keith,649,24.6,"1B, 2B, 3B",DET,MLB
277,Caleb Bonemer,648,20.4,"3B, SS",CWS,A+
278,AJ Smith-Shawver,646,23.3,SP,ATL,MLB
279,Christian Moore,646,23.4,2B,LAA,MLB
280,Brandon Sproat,640,25.5,SP,MIL,MLB
281,Brandon Lowe,638,31.7,2B,TB,MLB
282,Devin Williams,636,31.4,RP,NYM,MLB
283,Mike Sirota,634,22.7,OF,LAD,A+
284,Troy Melton,631,25.2,"SP, RP",DET,MLB
285,Taylor Ward,629,32.2,OF,BAL,MLB
286,Kaelen Culpepper,628,23.2,SS,MIN,AA
287,Xavier Edwards,626,26.6,"2B, SS",MIA,MLB
288,Ian Happ,622,31.6,OF,CHC,MLB
289,Carlos Lagrange,621,22.8,SP,NYY,AA
290,Jaxon Wiggins,621,24.4,SP,CHC,AAA
291,Ethan Conrad,619,21.7,OF,CHC,ROK
292,Kyson Witherspoon,616,21.6,SP,BOS,ROK
293,Theo Gillen,613,20.5,OF,TB,A
294,Nathan Eovaldi,613,36,SP,TEX,MLB
295,Luis Morales,610,23.4,SP,ATH,MLB
296,Matt Chapman,610,32.8,3B,SF,MLB
297,Michael Arroyo,608,21.3,2B,SEA,AA
298,Gleyber Torres,607,29.2,2B,DET,MLB
299,Mark Vientos,599,26.2,3B,NYM,MLB
300,Casey Mize,595,28.8,SP,DET,MLB
301,Reese Olson,591,26.6,SP,DET,AAA
302,Willson Contreras,589,33.8,1B,BOS,MLB
303,Elmer Rodriguez-Cruz,584,22.5,SP,NYY,MLB
304,Andrew Vaughn,580,27.9,1B,MIL,MLB
305,Aaron Nola,577,32.7,SP,PHI,MLB
306,Jacob Reimer,575,22,3B,NYM,AA
307,Spencer Jones,573,24.8,OF,NYY,MLB
308,Anthony Volpe,568,24.8,SS,NYY,MLB
309,Teoscar Hernandez,566,33.4,OF,LAD,MLB
310,Cole Young,564,22.6,2B,SEA,MLB
311,Rhett Lowder,556,23.9,SP,CIN,MLB
312,Spencer Steer,553,28.2,"1B, OF",CIN,MLB
313,Caleb Durbin,552,26,"2B, 3B",BOS,MLB
314,Chandler Simpson,547,25.3,OF,TB,MLB
315,Dansby Swanson,545,32.1,SS,CHC,MLB
316,Gage Wood,543,22.2,SP,PHI,A
317,Aiva Arquette,542,22.4,SS,MIA,A+
318,Bryan Reynolds,535,31.1,OF,PIT,MLB
319,Triston Casas,530,26.1,1B,BOS,MLB
320,Shane Smith,526,25.9,SP,CWS,MLB
321,Joe Boyle,523,26.6,SP,TB,MLB
322,Tyler Bremner,522,21.9,SP,LAA,ROK
323,Steele Hall,517,18.6,SS,CIN,ROK
324,Alejandro Kirk,517,27.3,C,TOR,MLB
325,Max Meyer,513,26.9,SP,MIA,MLB
326,Braxton Ashcraft,513,26.4,"SP, RP",PIT,MLB
327,Abner Uribe,510,25.7,RP,MIL,MLB
328,Jordan Beck,509,24.9,OF,COL,MLB
329,Jung Hoo Lee,507,27.5,OF,SF,MLB
330,Robbie Ray,507,34.4,SP,SF,MLB
331,Jose Altuve,505,35.8,"2B, OF",HOU,MLB
332,Will Warren,502,26.7,SP,NYY,MLB
333,Caden Scarborough,499,20.9,SP,TEX,A+
334,Jack Flaherty,499,30.4,SP,DET,MLB
335,Bryson Stott,499,28.4,"2B, SS",PHI,MLB
336,Esmerlyn Valdez,498,22.1,OF,PIT,MLB
337,Franklin Arias,498,20.3,SS,BOS,AA
338,Jonny Farmelo,488,21.5,OF,SEA,A+
339,George Springer,480,36.5,OF,TOR,MLB
340,Juan Sanchez,474,18.4,"3B, SS",TOR,ROK
341,Gabriel Moreno,468,26,C,AZ,MLB
342,Arjun Nimmala,465,20.4,SS,TOR,A+
343,Grant Taylor,465,23.8,"SP, RP",CWS,MLB
344,Ryan Clifford,462,22.6,"1B, OF",NYM,AAA
345,Chase Dollander,460,24.4,SP,COL,MLB
346,Taj Bradley,459,24.9,SP,MIN,MLB
347,Kodai Senga,458,33.1,SP,NYM,MLB
348,Mitch Keller,449,29.9,SP,PIT,MLB
349,Mick Abel,446,24.5,SP,MIN,MLB
350,Slade Caldwell,445,19.7,OF,AZ,A+
351,Otto Lopez,439,27.4,"2B, SS",MIA,MLB
352,Daniel Palencia,437,26.1,RP,CHC,MLB
353,Jhostynxon Garcia,437,23.2,OF,PIT,MLB
354,Sonny Gray,428,36.3,SP,BOS,MLB
355,Brett Baty,427,26.3,"2B, 3B",NYM,MLB
356,Edgar Quero,424,22.9,C,CWS,MLB
357,Harry Ford,423,23,C,WSH,MLB
358,Luis Garcia Jr.,423,25.8,2B,WSH,MLB
359,Brandon Nimmo,419,32.9,OF,TEX,MLB
360,Cooper Pratt,417,21.5,SS,MIL,AA
361,Jacob Melton,414,25.5,OF,TB,MLB
362,Trent Grisham,414,29.3,OF,NYY,MLB
363,Trevor Megill,411,32.2,RP,MIL,MLB
364,Luisangel Acuna,407,23.9,2B,CWS,MLB
365,Trevor Story,404,33.3,SS,BOS,MLB
366,Yandy Diaz,403,34.6,1B,TB,MLB
367,Nolan Schanuel,402,24,1B,LAA,MLB
368,Jose Soriano,400,27.4,SP,LAA,MLB
369,Ryne Nelson,400,28.1,"SP, RP",AZ,MLB
370,2026 Early 2nd,397,,,,
371,Chase Meidroth,397,24.6,"2B, SS",CWS,MLB
372,Carlos Correa,397,31.4,"3B, SS",HOU,MLB
373,Alec Bohm,395,29.6,"1B, 3B",PHI,MLB
374,Nate George,394,19.7,OF,BAL,A+
375,Brady House,392,22.7,3B,WSH,MLB
376,Cam Collier,391,21.3,"1B, 3B",CIN,AA
377,Xavier Isaac,384,22.2,UT,TB,AA
378,Jack Perkins,383,26.2,"SP, RP",ATH,MLB
379,Jacob Lopez,382,27.9,SP,ATH,MLB
380,Cristian Javier,380,28.9,SP,HOU,MLB
381,Felnin Celesten,379,20.5,SS,SEA,A+
382,Logan O'Hoppe,375,26.1,C,LAA,MLB
383,Jordan Walker,372,23.8,OF,STL,MLB
384,Brooks Lee,371,25,"2B, 3B, SS",MIN,MLB
385,Zac Veen,368,24.2,OF,COL,MLB
386,Reid Detmers,367,26.7,RP,LAA,MLB
387,Kyle Harrison,367,24.6,SP,MIL,MLB
388,Austin Wells,367,26.6,C,NYY,MLB
389,Andrew Fischer,367,21.8,3B,MIL,A+
390,Jackson Ferris,367,22.1,SP,LAD,AA
391,Clarke Schmidt,365,30,SP,NYY,AA
392,Quinn Mathews,364,25.4,SP,STL,AAA
393,Jaison Chourio,363,20.8,OF,CLE,A+
394,Jurrangelo Cijntje,362,22.8,SP,STL,AA
395,Kayson Cunningham,361,19.7,SS,AZ,A
396,Mike Burrows,359,26.3,SP,HOU,MLB
397,Brice Matthews,357,23.9,2B,HOU,MLB
398,Ryan Helsley,353,31.6,RP,BAL,MLB
399,Spencer Arrighetti,352,26.2,SP,HOU,MLB
400,Luis Arraez,351,28.9,"1B, 2B",SF,MLB
401,C.J. Kayfus,348,24.3,"1B, OF",CLE,MLB
402,J.R. Ritchie,348,22.7,SP,ATL,AAA
403,Bailey Ober,348,30.6,SP,MIN,MLB
404,Brody Hopkins,345,24.1,SP,TB,AA
405,Josh Lowe,343,28.1,OF,LAA,MLB
406,Bryan Abreu,343,28.9,RP,HOU,MLB
407,Aidan Smith,342,21.6,OF,TB,A+
408,Kevin Alcantara,340,23.6,OF,CHC,MLB
409,Kruz Schoolcraft,339,18.9,SP,SD,A
410,Eduardo Tait,339,19.5,C,MIN,A+
411,Brandon Pfaadt,339,27.4,SP,AZ,MLB
412,Kumar Rocker,338,26.3,SP,TEX,MLB
413,2027 Early 2nd,338,,,,
414,Hunter Barco,324,25.2,RP,PIT,MLB
415,Brady Singer,319,29.6,SP,CIN,MLB
416,Gavin Fien,318,18.9,"3B, SS",WSH,A
417,Ricky Tiedemann,315,23.5,SP,TOR,MLB
418,Christian Scott,312,26.7,SP,NYM,MLB
419,David Bednar,311,31.4,RP,NYY,MLB
420,Braylon Payne,311,19.6,OF,MIL,A
421,Salvador Perez,310,35.8,"C, 1B",KC,MLB
422,Colby Thomas,310,25.1,OF,ATH,MLB
423,Joe Musgrove,310,33.2,SP,SD,MLB
424,Josh Jung,310,28.1,3B,TEX,MLB
425,Jeferson Quero,308,23.4,C,MIL,MLB
426,Matthew Liberatore,308,26.3,SP,STL,MLB
427,Griffin Jax,306,31.3,"SP, RP",TB,MLB
428,Lars Nootbaar,305,28.5,OF,STL,MLB
429,Robert Suarez,305,35,RP,ATL,MLB
430,2027 Mid 2nd,305,,,,
431,Jurickson Profar,303,33,OF,ATL,MLB
432,Connor Norby,300,25.7,3B,MIA,MLB
433,Jorge Polanco,300,32.7,2B,NYM,MLB
434,Angel Genao,300,21.8,"3B, SS",CLE,MLB
435,Noble Meyer,298,21.1,SP,MIA,A+
436,Ramon Laureano,296,31.6,OF,SD,MLB
437,Billy Carlson,295,19.6,SS,CWS,ROK
438,2027 Late 2nd,295,,,,
439,Ian Seymour,293,27.2,"SP, RP",TB,MLB
440,Johnny King,293,19.6,SP,TOR,A
441,Randy Rodriguez,292,26.5,RP,SF,MLB
442,Tommy Troy,290,24.1,"2B, OF",AZ,AAA
443,Pete Fairbanks,290,32.2,RP,MIA,MLB
444,Xavier Neyens,290,19.3,3B,HOU,ROK
445,Michael Forret,289,21.9,SP,TB,AA
446,Joe Mack,289,23.2,C,MIA,MLB
447,Luis Hernandez,288,17.2,SS,SF,ROK
448,Miguel Vargas,285,26.3,"1B, 3B",CWS,MLB
449,Termarr Johnson,285,21.7,2B,PIT,AA
450,Aroon Escobar,284,21.2,2B,PHI,AA
451,Deyvison De Los Santos,284,22.7,3B,MIA,MLB
452,2026 Mid 2nd,283,,,,
453,Ethan Salas,283,19.8,C,SD,AA
454,Aroldis Chapman,278,38,RP,BOS,MLB
455,David Festa,277,25.9,SP,MIN,MLB
456,Kendry Chourio,275,18.4,SP,KC,A
457,Justin Martinez,275,24.6,RP,AZ,AAA
458,Owen Murphy,275,22.4,SP,ATL,A+
459,A.J. Ewing,274,21.6,OF,NYM,AA
460,Brock Wilken,274,23.7,3B,MIL,AA
461,TJ Friedl,273,30.6,OF,CIN,MLB
462,Andres Gimenez,272,27.5,"2B, SS",TOR,MLB
463,Adrian Morejon,272,27,RP,SD,MLB
464,Zack Gelof,272,26.4,2B,ATH,MLB
465,Xander Bogaerts,261,33.4,SS,SD,MLB
466,George Klassen,261,24.1,SP,LAA,AAA
467,Tommy White,260,23,3B,ATH,AA
468,Kash Mayfield,258,21.1,SP,SD,A
469,Cade Cavalli,257,27.6,SP,WSH,MLB
470,Ike Irish,257,22.3,"C, 1B",BAL,A
471,Khal Stephen,256,23.2,SP,CLE,AA
472,Joey Cantillo,256,26.2,"SP, RP",CLE,MLB
473,Hayden Birdsong,255,24.5,"SP, RP",SF,MLB
474,Orion Kerkering,255,24.9,RP,PHI,MLB
475,Jace LaViolette,254,22.2,OF,CLE,ROK
476,Alex Freeland,254,24.5,"2B, 3B",LAD,MLB
477,Merrill Kelly,252,37.4,SP,AZ,MLB
478,Drew Gilbert,251,25.4,OF,SF,MLB
479,Jeremiah Estrada,251,27.3,RP,SD,MLB
480,Tommy Edman,250,30.8,"2B, 3B, OF",LAD,MLB
481,Chase Petty,250,22.9,SP,CIN,MLB
482,Clay Holmes,249,32.9,SP,NYM,MLB
483,Ben Hess,248,23.5,SP,NYY,AA
484,Slade Cecconi,245,26.7,SP,CLE,MLB
485,Ryan O'Hearn,245,32.6,"1B, OF",PIT,MLB
486,James Tibbs III,244,23.4,OF,LAD,AA
487,Adael Amador,242,22.9,2B,COL,MLB
488,Parker Meadows,242,26.3,OF,DET,MLB
489,Blake Mitchell,239,21.6,C,KC,A+
490,Ronny Mauricio,237,24.9,3B,NYM,MLB
491,Dillon Dingler,236,27.5,C,DET,MLB
492,Landen Roupp,234,27.5,SP,SF,MLB
493,Marcus Semien,233,35.5,2B,NYM,MLB
494,Max Muncy,232,23.5,"2B, 3B",ATH,MLB
495,Jeff Hoffman,232,33.1,RP,TOR,MLB
496,Edwin Arroyo,231,22.5,SS,CIN,MLB
497,Adolis Garcia,231,33,OF,PHI,MLB
498,Carson Whisenhunt,229,25.4,SP,SF,MLB
499,Tink Hence,227,23.6,SP,STL,MLB
500,Garrett Mitchell,225,27.5,OF,MIL,MLB
